"","X","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"479",479,"24B - 24F","24B","24F",1,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"593",593,"6A - 6B","6A","6B",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"594",594,"6A - 6C/D","6A","6C/D",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"137",137,"12F - 7F","12F","7F",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"521",521,"3 - 9V","3","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"534",534,"33B - 33D","33B","33D",1,1,0,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"554",554,"35A - 35C","35A","35C",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"556",556,"35A - 9V","35A","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"602",602,"6B - 6C/D","6B","6C/D",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"603",603,"6B - 6E","6B","6E",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"625",625,"9N - 9V","9N","9V",1,1,1,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,4.75
"190",190,"14 - 9V","14","9V",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"216",216,"15B/C - 15F","15B/C","15F",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"225",225,"15B/C - 23A","15B/C","23A",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"270",270,"17F - 22A","17F","22A",0,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"288",288,"18B - 18F","18B","18F",0,1,1,1,0,0.25,0.25,0,0.25,0.25,0.25,0.25,4.5
"318",318,"18F - 22A","18F","22A",0,1,1,1,0,0.25,0.25,0,0.25,0.25,0.25,0.25,4.5
"409",409,"22A - 42","22A","42",0,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"426",426,"23A - 23B","23A","23B",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"435",435,"23A - 38","23A","38",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"507",507,"3 - 37","3","37",1,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"90",90,"11A - 35A","11A","35A",0,1,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,4.25
"284",284,"18A - 18F","18A","18F",0,1,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,4.25
"12",12,"1 - 19F","1","19F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"116",116,"11D - 11E","11D","11E",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"162",162,"14 - 19A","14","19A",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"165",165,"14 - 19F","14","19F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"243",243,"15B/C - 9V","15B/C","9V",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
"272",272,"17F - 23F","17F","23F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"444",444,"23B - 23F","23B","23F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"491",491,"25A - 25F","25A","25F",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"493",493,"25A - 38","25A","38",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"495",495,"25F - 38","25F","38",0,1,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"567",567,"35B - 9V","35B","9V",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
"595",595,"6A - 6E","6A","6E",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0.25,4
"19",19,"1 - 3","1","3",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"22",22,"1 - 4","1","4",1,0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"157",157,"13 - 9V","13","9V",0,0,1,1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
"355",355,"19A - 9A","19A","9A",1,1,1,0,0,0,0.25,0,0,0.25,0.25,0,3.75
"363",363,"19B - 7B/C","19B","7B/C",0,0,1,1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
"526",526,"31 - 9N","31","9N",0,0,1,1,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,3.75
"578",578,"38 - 7F","38","7F",0,1,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.75
"5",5,"1 - 14","1","14",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"74",74,"11A - 15F","11A","15F",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"78",78,"11A - 19A","11A","19A",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"87",87,"11A - 33A","11A","33A",1,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"89",89,"11A - 33F","11A","33F",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"100",100,"11A - 8","11A","8",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"115",115,"11C - 9V","11C","9V",0,0,1,1,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"149",149,"13 - 23F","13","23F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"177",177,"14 - 4","14","4",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"195",195,"15A - 19A","15A","19A",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"197",197,"15A - 19F","15A","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"221",221,"15B/C - 19F","15B/C","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"247",247,"15F - 19F","15F","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"296",296,"18C - 21","18C","21",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"374",374,"19F - 3","19F","3",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"402",402,"21 - 23F","21","23F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"405",405,"22A - 22F","22A","22F",0,0,1,1,0,0.25,0.25,0,0.25,0.25,0.25,0.25,3.5
"407",407,"22A - 35C","22A","35C",0,1,1,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,3.5
"431",431,"23A - 31","23A","31",0,0,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"450",450,"23B - 6B","23B","6B",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"487",487,"24F - 7B/C","24F","7B/C",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"504",504,"3 - 33F","3","33F",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"553",553,"35A - 35B","35A","35B",0,1,1,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,3.5
"568",568,"35C - 35F","35C","35F",0,1,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"586",586,"4 - 9N","4","9N",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"7",7,"1 - 15B/C","1","15B/C",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"17",17,"1 - 23F","1","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"26",26,"1 - 6B","1","6B",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"32",32,"10A - 10F","10A","10F",1,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,3.25
"38",38,"10A - 19A","10A","19A",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"72",72,"11A - 15A","11A","15A",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"79",79,"11A - 19F","11A","19F",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"85",85,"11A - 3","11A","3",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"86",86,"11A - 31","11A","31",0,0,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"96",96,"11A - 6B","11A","6B",1,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,3.25
"171",171,"14 - 24F","14","24F",1,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"236",236,"15B/C - 6A","15B/C","6A",1,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,3.25
"283",283,"18A - 18C","18A","18C",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"290",290,"18B - 22F","18B","22F",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"312",312,"18C - 7F","18C","7F",1,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"333",333,"19A - 23F","19A","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"348",348,"19A - 6A","19A","6A",1,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,3.25
"370",370,"19F - 23F","19F","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"401",401,"21 - 22F","21","22F",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"411",411,"22F - 23A","22F","23A",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"420",420,"22F - 35C","22F","35C",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"430",430,"23A - 3","23A","3",1,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"449",449,"23B - 6A","23B","6A",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"466",466,"23F - 6A","23F","6A",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"513",513,"3 - 6B","3","6B",1,0,1,0,0.25,0,0,0,0.25,0.25,0.25,0.25,3.25
"11",11,"1 - 19A","1","19A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"15",15,"1 - 23A","1","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"25",25,"1 - 6A","1","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"29",29,"1 - 9V","1","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"71",71,"11A - 14","11A","14",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"73",73,"11A - 15B/C","11A","15B/C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"81",81,"11A - 23A","11A","23A",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"118",118,"11D - 23B","11D","23B",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"120",120,"11E - 23B","11E","23B",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"158",158,"14 - 15A","14","15A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"160",160,"14 - 18C","14","18C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"169",169,"14 - 23B","14","23B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"172",172,"14 - 3","14","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"185",185,"14 - 7F","14","7F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"199",199,"15A - 23A","15A","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"202",202,"15A - 3","15A","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"218",218,"15B/C - 18C","15B/C","18C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"227",227,"15B/C - 23F","15B/C","23F",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"230",230,"15B/C - 3","15B/C","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"233",233,"15B/C - 35B","15B/C","35B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"235",235,"15B/C - 4","15B/C","4",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"237",237,"15B/C - 6B","15B/C","6B",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"294",294,"18C - 19A","18C","19A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"295",295,"18C - 19F","18C","19F",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"304",304,"18C - 35A","18C","35A",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"308",308,"18C - 4","18C","4",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"328",328,"19A - 21","19A","21",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"330",330,"19A - 22F","19A","22F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"331",331,"19A - 23A","19A","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"332",332,"19A - 23B","19A","23B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"349",349,"19A - 6B","19A","6B",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"350",350,"19A - 6C/D","19A","6C/D",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"351",351,"19A - 6E","19A","6E",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"352",352,"19A - 7B/C","19A","7B/C",1,0,1,0,0,0.25,0.25,0.25,0,0,0.25,0,3
"358",358,"19A - 9V","19A","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"366",366,"19F - 21","19F","21",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"367",367,"19F - 22F","19F","22F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"368",368,"19F - 23A","19F","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"369",369,"19F - 23B","19F","23B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"389",389,"19F - 6A","19F","6A",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"390",390,"19F - 6B","19F","6B",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"392",392,"19F - 7B/C","19F","7B/C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"398",398,"19F - 9V","19F","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"400",400,"20B - 7B/C","20B","7B/C",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"434",434,"23A - 35B","23A","35B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"437",437,"23A - 6A","23A","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"438",438,"23A - 6B","23A","6B",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"456",456,"23F - 3","23F","3",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"467",467,"23F - 6B","23F","6B",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"470",470,"23F - 7B/C","23F","7B/C",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"478",478,"24A - 48","24A","48",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"512",512,"3 - 6A","3","6A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"524",524,"31 - 8","31","8",0,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3
"557",557,"35B - 35C","35B","35C",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"587",587,"4 - 9V","4","9V",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"601",601,"6A - 9V","6A","9V",1,0,1,0,0,0.25,0,0,0,0.25,0.25,0.25,3
"43",43,"10A - 23F","10A","23F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"45",45,"10A - 6A","10A","6A",1,0,1,0,0.25,0,0,0,0.25,0,0.25,0,2.75
"51",51,"10B - 10F","10B","10F",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"104",104,"11B - 11C","11B","11C",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"108",108,"11B - 33D","11B","33D",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"114",114,"11C - 7B/C","11C","7B/C",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,2.75
"124",124,"12B - 46","12B","46",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"159",159,"14 - 15B/C","14","15B/C",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"201",201,"15A - 23F","15A","23F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"238",238,"15B/C - 6C/D","15B/C","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"250",250,"15F - 3","15F","3",0,0,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,2.75
"253",253,"15F - 7B/C","15F","7B/C",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"254",254,"16A - 16F","16A","16F",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,2.75
"255",255,"16F - 19A","16F","19A",1,0,1,0,0.25,0,0.25,0,0,0,0.25,0,2.75
"310",310,"18C - 6B","18C","6B",1,0,1,0,0,0.25,0,0,0.25,0,0.25,0,2.75
"337",337,"19A - 3","19A","3",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"353",353,"19A - 7F","19A","7F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"371",371,"19F - 24F","19F","24F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0,2.75
"439",439,"23A - 6C/D","23A","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"459",459,"23F - 35B","23F","35B",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"468",468,"23F - 6C/D","23F","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"469",469,"23F - 6E","23F","6E",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"476",476,"23F - 9V","23F","9V",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"497",497,"28F - 33D","28F","33D",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"562",562,"35B - 6C/D","35B","6C/D",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"606",606,"6B - 7F","6B","7F",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"610",610,"6B - 9V","6B","9V",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"611",611,"6C/D - 6E","6C/D","6E",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"24",24,"1 - 5","1","5",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"31",31,"10A - 10C","10A","10C",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"34",34,"10A - 11D","10A","11D",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"35",35,"10A - 11E","10A","11E",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"46",46,"10A - 6B","10A","6B",1,0,1,0,0,0,0,0,0.25,0,0.25,0,2.5
"63",63,"10F - 27","10F","27",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"64",64,"10F - 3","10F","3",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"67",67,"11A - 11D","11A","11D",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"68",68,"11A - 11E","11A","11E",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"107",107,"11B - 33B","11B","33B",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"113",113,"11C - 14","11C","14",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"142",142,"13 - 15B/C","13","15B/C",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"145",145,"13 - 19A","13","19A",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"148",148,"13 - 23A","13","23A",0,0,1,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,2.5
"174",174,"14 - 35B","14","35B",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"179",179,"14 - 6A","14","6A",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"181",181,"14 - 6C/D","14","6C/D",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"210",210,"15A - 6B","15A","6B",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"246",246,"15F - 19B","15F","19B",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"249",249,"15F - 23F","15F","23F",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"258",258,"16F - 22F","16F","22F",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"334",334,"19A - 24F","19A","24F",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"340",340,"19A - 34","19A","34",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"365",365,"19C - 9L","19C","9L",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"382",382,"19F - 35F","19F","35F",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"391",391,"19F - 6C/D","19F","6C/D",1,0,1,0,0,0.25,0,0,0,0,0.25,0,2.5
"397",397,"19F - 9N","19F","9N",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"406",406,"22A - 32F","22A","32F",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"414",414,"22F - 24F","22F","24F",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"477",477,"24A - 24F","24A","24F",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"492",492,"25A - 29","25A","29",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"496",496,"28F - 33B","28F","33B",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,2.5
"528",528,"32F - 35F","32F","35F",0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,2.5
"529",529,"33A - 33B","33A","33B",0,1,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,2.5
"540",540,"33D - 6A","33D","6A",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"541",541,"33D - 6B","33D","6B",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"560",560,"35B - 6A","35B","6A",1,0,1,0,0.25,0,0,0,0,0,0.25,0,2.5
"590",590,"42 - 9V","42","9V",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"608",608,"6B - 9A","6B","9A",1,0,1,0,0,0,0,0,0,0.25,0.25,0,2.5
"612",612,"6C/D - 6F","6C/D","6F",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"2",2,"1 - 10C","1","10C",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"39",39,"10A - 19F","10A","19F",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"75",75,"11A - 16F","11A","16F",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"93",93,"11A - 38","11A","38",0,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,2.25
"95",95,"11A - 6A","11A","6A",0,0,1,0,0,0.25,0,0,0.25,0.25,0.25,0.25,2.25
